# BF Charge k_left k_right
0.000000000000000000e+00 0.000000000000000000e+00 7.237763318779499493e-09 7.023401565834462083e-09
0.000000000000000000e+00 1.000000000000000056e-01 7.187424084866985099e-09 4.122788096370417708e-09
1.000000000000000000e+02 0.000000000000000000e+00 5.909533851766762610e-09 8.637071798237264456e-09
1.000000000000000000e+02 1.000000000000000056e-01 6.760912453235520614e-09 4.797180169418598637e-09
3.000000000000000000e+02 0.000000000000000000e+00 8.502772267666888251e-09 8.840576069357842068e-09
3.000000000000000000e+02 1.000000000000000056e-01 5.968822690003736645e-09 3.452183024397716248e-09
4.000000000000000000e+02 0.000000000000000000e+00 6.154646024908644947e-09 7.471239684387799578e-09
4.000000000000000000e+02 1.000000000000000056e-01 6.225693718698265313e-09 3.945189025978371238e-09
