# Kapitza k_left k_right peak_denL peak_denLz peak_denR peak_denRz bulk_den Qtotal
7.417176112779961805e+00 7.302036741379293169e-09 7.532315484180629573e-09 3.265246666666666187e+00 -3.995000000000000284e+01 2.974769999999999914e+00 -3.975000000000000000e+01 1.463591666666668401e+00 -1.794098110073826999e-06
6.437807207873293969e+00 6.893683639917676300e-09 5.981930775828911157e-09 3.314936666666666198e+00 -3.571000000000000085e+01 3.024690000000000101e+00 -3.540999999999999659e+01 1.393456414565825696e+00 -2.022188005852823999e-06
7.232935184888837910e+00 6.313957942042498673e-09 8.151912427735178342e-09 3.332770000000000010e+00 -3.098999999999999844e+01 3.027029999999999887e+00 -3.069000000000000128e+01 1.334793834526651235e+00 -2.376726239663352625e-06
