# Kapitza k_left k_right peak_denL peak_denLz peak_denR peak_denRz bulk_den Qtotal
7.417176112779706898e+00 7.302036741379199698e-09 7.532315484180212674e-09 3.265246666666666187e+00 -3.995000000000000284e+01 2.974769999999999914e+00 -3.975000000000000000e+01 1.463591666666666624e+00 -1.794098110073826999e-06
6.437807207873253112e+00 6.893683639917676300e-09 5.981930775828829266e-09 3.314936666666666198e+00 -3.571000000000000085e+01 3.024690000000000101e+00 -3.540999999999999659e+01 1.393456414565826140e+00 -2.022188005852823999e-06
7.232935184888996893e+00 6.313957942042710431e-09 8.151912427735284221e-09 3.332770000000000010e+00 -3.098999999999999844e+01 3.027029999999999887e+00 -3.069000000000000128e+01 1.334793834526650347e+00 -2.376726239663352625e-06
